1;1;stoly;10
2;1;zidle;20
4;1;skrine;7
5;1;postele;9
7;1;matrace;12
8;1;pohovky;18
10;1;televize;24
11;1;radia;100
13;1;sporaky;150
14;1;lednice;1
16;1;hrnce;17
17;1;obrazovka;77
19;1;cd;42
20;1;dvd;4
22;1;kola;81
23;1;podlozky;15
1;2;mobily;87
2;2;laptopy;56
4;2;pocitace;76
5;2;prupisky;213
7;2;kvetinace;12
8;2;policky;1
10;2;tuzky;88
11;2;gumy;55
13;2;reproduktory;44
14;2;kopirky;37
16;2;cinky;14
17;2;vesaky;105
19;2;kose;101
20;2;mikiny;20
22;2;batohy;21
23;2;barvy;10
1;3;pouzdra;8
2;3;zidle;0
4;3;pribory;0
5;3;ubrusy;0
7;3;talire;0
8;3;avokado;45
10;3;banany;52
11;3;melouny;42
13;3;citrony;41
14;3;jablka;18
16;3;jahody;17
17;3;ananasy;12
19;3;merunky;30
20;3;broskve;154
22;3;hrusky;44
23;3;hrozny;100
1;4;mydla;33
2;4;sampony;32
4;4;zinky;80
5;4;kartacky;16
7;4;pasty;55
8;4;hrebinky;12
10;4;laky;29
11;4;gely;18
13;4;natacky;75
14;4;gumicky;255
16;4;ziletky;50
17;4;rtenky;120
19;4;rucniky;45
20;4;osusky;44
22;4;topeni;15
23;4;susaky;5
1;7;tresne;75
2;7;kiwi;32
4;7;svestky;88
5;7;mango;16
7;7;mandarinky;87
8;7;boruvky;564
10;7;maliny;21
11;7;brambory;242
13;7;papriky;25
14;7;rajcata;97
16;7;okurky;99
17;7;sesity;100
19;7;obaly;101
20;7;cokolady;121
22;7;pepsi;188
23;7;lampicky;87
1;8;lustry;11
2;8;zlato;22
4;8;citrony;33
5;8;datle;44
7;8;kokosy;55
8;8;sanky;66
10;8;boby;77
11;8;lyze;88
13;8;brusle;99
14;8;kapesniky;11
16;8;nuzky;18
17;8;noze;85
19;8;kamery;24
20;8;sochy;65
22;8;konzole;45
23;8;kalkulacky;58
1;9;tablety;51
2;9;pravitka;12
4;9;mikrofony;95
5;9;sluchatka;75
7;9;papuce;13
8;9;koberce;35
10;9;hodiny;52
11;9;polstare;57
13;9;deky;59
14;9;vypinace;64
16;9;prepinace;52
17;9;pojistky;32
19;9;sklenicky;21
20;9;zavesy;85
22;9;latky;74
23;9;knihy;19
1;10;kolecka;5
2;10;hrabe;28
4;10;lopaty;15
5;10;motyky;25
7;10;moticky;40
8;10;kyble;28
10;10;hadice;18
11;10;krumpace;78
13;10;ryce;35
14;10;hnojiva;45
16;10;konve;11
17;10;sudy;32
19;10;kura;21
20;10;rozprasovace;5
22;10;dlazdice;500
23;10;plachty;0
